TableName	ColumnName	DataType	max_length	is_nullable	IsPrimaryKey
AccessionNumber	han_Id	int	4	0	YES
AccessionNumber	han_hpc_ProcedureCodeId	int	4	1	NO
AccessionNumber	han_IsFromRegistration	bit	1	0	NO
AccessionNumberEncounterLink	hel_ect_EncounterId	uniqueidentifier	16	0	YES
AccessionNumberEncounterLink	hel_StudyInstanceUid	nvarchar	400	1	NO
AccessToken	Id	int	4	0	YES
AccessToken	PatientId	uniqueidentifier	16	0	NO
AccessToken	UserId	uniqueidentifier	16	0	NO
AccessToken	DeviceId	uniqueidentifier	16	0	NO
AccessToken	ClaimedAt	datetime2	8	0	NO
AccessToken	ReleasedAt	datetime2	8	1	NO
AccessToken	ExpiresAt	datetime2	8	0	NO
AccessTokenSetting	Id	int	4	0	YES
AccessTokenSetting	Name	varchar	50	0	NO
AccessTokenSetting	Description	varchar	100	0	NO
AccessTokenSetting	Value	int	4	0	NO
Accommodation	psa_pss_id	int	4	0	YES
Accommodation	psa_lks_accomodation	int	4	0	NO
Accommodation	psa_comments	nvarchar	-1	1	NO
AccommodationAssessment	Id	int	4	0	YES
AccommodationAssessment	CorrectionId	int	4	1	NO
AccommodationAssessment	Comments	nvarchar	2000	1	NO
AccommodationAssessment	MeasurementUnit	int	4	0	NO
AccommodationAssessmentLog	Id	int	4	0	YES
AccommodationAssessmentLog	ActivityId	uniqueidentifier	16	0	NO
AccommodationAssessmentLog	CorrectionId	int	4	1	NO
AccommodationAssessmentLog	Comments	nvarchar	2000	1	NO
AccommodationAssessmentLog	ObjectId	int	4	0	NO
AccommodationAssessmentLog	DateAdded	datetime	8	0	NO
AccommodationAssessmentLog	AddedBy	uniqueidentifier	16	0	NO
AccommodationAssessmentLog	TransactionId	uniqueidentifier	16	0	NO
AccommodationAssessmentLog	Action	char	1	0	NO
AccommodationAssessmentLog	MeasurementUnit	int	4	0	NO
AccommodationMeasurement	Id	int	4	0	YES
AccommodationMeasurement	NearLineId	int	4	1	NO
AccommodationMeasurement	NearPointValue	int	4	1	NO
AccommodationMeasurement	AmplitudeValue	decimal	5	1	NO
AccommodationMeasurementLog	Id	int	4	0	YES
AccommodationMeasurementLog	AccommodationAssessmentId	int	4	0	NO
AccommodationMeasurementLog	BodyPartId	int	4	0	NO
AccommodationMeasurementLog	NearLineId	int	4	1	NO
AccommodationMeasurementLog	NearPointValue	int	4	1	NO
AccommodationMeasurementLog	ObjectId	int	4	0	NO
AccommodationMeasurementLog	DateAdded	datetime	8	0	NO
AccommodationMeasurementLog	AddedBy	uniqueidentifier	16	0	NO
AccommodationMeasurementLog	TransactionId	uniqueidentifier	16	0	NO
AccommodationMeasurementLog	Action	char	1	0	NO
AccommodationMeasurementLog	Order	int	4	0	NO
AccommodationMeasurementLog	AmplitudeValue	decimal	5	1	NO
AcFill	Id	int	4	0	YES
AcFill	Description	nvarchar	510	0	NO
AcMaintainer	Id	int	4	0	YES
AcMaintainer	ActivityId	uniqueidentifier	16	0	YES
AcMaintainer	ClockHourValue	int	4	0	YES
AcMaintainer	ClockHourValue	int	4	0	YES
AcMaintainer	BodyPartId	int	4	0	YES
AcMaintainerLog	Id	int	4	0	YES
AcMaintainerLog	ActivityId	int	4	0	YES
AcMaintainerLog	ObjectId	uniqueidentifier	16	0	NO
AcMaintainerLog	ObjectId	int	4	0	NO
AcMaintainerLog	DateAdded	datetime	8	0	NO
AcMaintainerLog	DateAdded	datetime	8	0	NO
AcMaintainerLog	AddedBy	uniqueidentifier	16	0	NO
AcMaintainerLog	AddedBy	uniqueidentifier	16	0	NO
