iter	Passed	Remaining
0	59	59159
1	60	30026
2	61	20425
3	62	15543
4	63	12566
5	64	10617
6	65	9220
7	65	8173
8	66	7360
9	67	6698
10	68	6151
11	69	5701
12	69	5307
13	70	4967
14	71	4679
15	71	4404
16	72	4174
17	72	3970
18	73	3785
19	73	3618
20	74	3472
21	74	3333
22	75	3212
23	76	3094
24	76	2986
25	77	2889
26	77	2796
27	78	2718
28	78	2641
29	79	2570
30	80	2501
31	80	2437
32	81	2376
33	81	2319
34	82	2267
35	82	2214
36	83	2167
37	83	2122
38	84	2078
39	84	2034
40	85	1997
41	86	1962
42	86	1928
43	87	1895
44	87	1864
45	88	1832
46	89	1807
47	89	1779
48	90	1751
49	90	1726
50	91	1703
51	92	1677
52	92	1653
53	93	1630
54	93	1607
55	94	1586
56	94	1567
57	95	1547
58	95	1527
59	97	1522
60	97	1507
61	98	1488
62	98	1470
63	99	1455
64	100	1441
65	100	1425
66	101	1409
67	101	1397
68	103	1393
69	103	1378
70	104	1363
71	104	1349
72	105	1336
73	105	1323
74	106	1312
75	107	1301
76	107	1288
77	108	1277
78	108	1268
79	109	1256
80	109	1245
81	110	1237
82	111	1226
83	111	1216
84	112	1207
85	112	1196
86	113	1186
87	113	1177
88	114	1169
89	114	1161
90	115	1153
91	116	1145
92	116	1137
93	117	1129
94	117	1121
95	118	1113
96	118	1106
97	119	1097
98	119	1090
99	120	1082
100	120	1074
101	121	1067
102	121	1058
103	122	1051
104	122	1043
105	122	1037
106	123	1030
107	124	1024
108	124	1019
109	125	1013
110	125	1007
111	126	1001
112	126	994
113	127	988
114	127	983
115	128	977
116	129	975
117	129	969
118	130	965
119	130	959
120	131	953
121	131	948
122	132	942
123	132	938
124	133	933
125	133	927
126	134	922
127	134	918
128	135	913
129	135	909
130	136	904
131	136	900
132	137	896
133	138	893
134	138	889
135	139	885
136	140	882
137	140	877
138	141	873
139	141	869
140	142	867
141	142	863
142	143	858
143	143	855
144	144	851
145	144	847
146	145	843
147	145	840
148	146	836
149	147	833
150	147	829
